HourOfDay,WeekdayLoad,WeekendLoad,HeatingSensitivity,CoolingSensitivity,ResidualError
0,1.2761891714914229,1.3389088683403467,0.0,0.0,0.40640547843913083
1,1.2654215412578207,1.716642540234787,0.0,0.0,0.40640547843913083
2,1.453819977826056,2.162192729803217,0.0,0.0,0.40640547843913083
3,2.6483620825399248,2.3616750056927156,0.0,0.0,0.40640547843913083
4,4.189817542774003,2.430321526068909,0.0,0.0,0.40640547843913083
5,4.88993674311142,2.447090595960612,0.0,0.0,0.40640547843913083
6,4.990589393966597,2.4313162656930762,0.0,0.0,0.40640547843913083
7,4.929185653554971,2.4126420685878283,0.0,0.0,0.40640547843913083
8,4.8961188126341,2.407154534871762,0.0,0.0,0.40640547843913083
9,4.9372554483084645,2.4133619574400083,0.0,0.0,0.40640547843913083
10,5.00850684615386,2.4220789579244775,0.0,0.0,0.40640547843913083
11,5.064828425074889,2.434978874830101,0.0,0.0,0.40640547843913083
12,5.070369424491085,2.451849916806603,0.0,0.0,0.40640547843913083
13,5.008713344047801,2.464592383458066,0.0,0.0,0.40640547843913083
14,4.906599117878277,2.450070273417694,0.0,0.0,0.40640547843913083
15,4.831020579940958,2.3695115836767053,0.0,0.0,0.40640547843913083
16,4.8075770235609845,2.0716986851050345,0.0,0.0,0.40640547843913083
17,4.835674932633321,1.7285001977131942,0.0,0.0,0.40640547843913083
18,4.636150140871926,1.453531590791851,0.0,0.0,0.40640547843913083
19,3.0749870894968927,1.2917181471219448,0.0,0.0,0.40640547843913083
20,1.7871944781007585,1.2673610345675408,0.0,0.0,0.40640547843913083
21,2.3873644916490746,1.267361034567545,0.0,0.0,0.40640547843913083
22,2.298762396377629,1.2673610345675408,0.0,0.0,0.40640547843913083
23,1.4837272062155795,1.2751475331874977,0.0,0.0,0.40640547843913083
